route_id,service_id,trip_id,trip_headsign,shape_id,block_id
3M,987,306059:422209:423231,MEMORIAL to County Park,3563,423231
3C,976,309424:422210:423211,COUNTY PARK to Northwood,3564,423211
3C,985,306932:422211:423258,COUNTY PARK to Northwood,3564,423258
7,976,309679:422212:423213,HUDSON to Waterfront,3458,423213
13,976,309320:422213:423213,JOHN-JUMBO to County Fair,3513,423213
3C,985,306983:422214:423258,COUNTY PARK to City Hall,3561,423258
3M,976,309508:422215:423233,MEMORIAL to Waterfront,3562,423233
3M,986,307776:422216:423260,MEMORIAL to City Hall,3518,423260
3M,986,307800:422217:423219,MEMORIAL to Jumbo Gardens,3559,423219
17,987,305825:422218:423196,CURRENT RIVER to Waterfront,3566,423196
8,985,307340:422219:423216,JAMES to City Hall via College,3551,423216
3M,976,309522:422220:423211,MEMORIAL to Northwood,3515,423211
3M,987,306105:422221:423207,MEMORIAL to Waterfront,3562,423207
3C,985,306954:422222:423223,COUNTY PARK to Waterfront,3557,423223
3J,986,308174:422223:423203,JUMBO GARDENS to Sherwood Dr.,3525,423203
3C,987,306169:422224:423214,COUNTY PARK to Northwood,3564,423214
17,986,307650:422225:423235,CURRENT RIVER to Waterfront,3566,423235
3M,986,307736:422226:423241,MEMORIAL to City Hall,3518,423241
3J,985,306807:422227:423224,JUMBO GARDENS to Airport,3530,423224
9,986,307821:422228:423235,JUNOT to Waterfront,3499,423235
3M,985,307198:422229:423257,MEMORIAL to County Park,3560,423257
3M,987,306114:422230:423207,MEMORIAL to City Hall,3518,423207
18,987,305746:422231:423247,WESTFORT to Mary,3509,423247
9,987,305864:422232:423266,JUNOT to Waterfront,3499,423266
17,985,306490:422233:423218,CURRENT RIVER to Waterfront,3566,423218
9,976,309752:422234:423238,JUNOT to Waterfront,3499,423238
18,987,305760:422235:423196,WESTFORT to Mary,3509,423196
8,976,309736:422236:423239,JAMES to City Hall via College,3551,423239
3C,986,308006:422237:423260,COUNTY PARK to Northwood,3564,423260
7,985,307140:422238:423268,HUDSON to Waterfront,3458,423268
18,976,309846:422239:423229,WESTFORT to Mary,3509,423229
9,987,305861:422240:423266,JUNOT to Waterfront,3499,423266
3M,976,309499:422241:423269,MEMORIAL to County Park,3563,423269
3M,987,306099:422242:423207,MEMORIAL to City Hall,3518,423207
8,985,307352:422243:423198,JAMES to City Hall,3540,423198
3M,987,306103:422244:423214,MEMORIAL to Northwood,3515,423214
3C,986,308010:422245:423253,COUNTY PARK to Northwood,3564,423253
17,985,306506:422246:423206,CURRENT RIVER to Waterfront,3566,423206
7,987,305923:422247:423237,HUDSON to Waterfront,3458,423237
9,986,307814:422248:423242,JUNOT to Waterfront,3499,423242
3M,985,307242:422249:423222,MEMORIAL to Northwood,3520,423222
3M,985,307228:422250:423258,MEMORIAL to Northwood,3520,423258
1,985,307031:422251:423210,MAINLINE to Waterfront,3522,423210
1,986,307980:422252:423200,MAINLINE to Waterfront,3529,423200
17,986,307645:422253:423190,CURRENT RIVER to Waterfront,3566,423190
13,976,309319:422254:423227,JOHN-JUMBO to County Fair,3513,423227
3C,987,306167:422255:423231,COUNTY PARK to Northwood,3564,423231
3M,986,307747:422256:423219,MEMORIAL to Airport,3516,423219
3M,976,309558:422257:423269,MEMORIAL to Northwood,3515,423269
3C,986,308014:422258:423254,COUNTY PARK to Waterfront,3557,423254
3C,986,308005:422259:423253,COUNTY PARK to Northwood,3564,423253
3M,976,309535:422260:423233,MEMORIAL to City Hall,3518,423233
9,987,305838:422261:423236,JUNOT to Waterfront,3499,423236
3J,985,306814:422262:423264,JUMBO GARDENS to Airport,3530,423264
17,987,305817:422263:423247,CURRENT RIVER to Waterfront,3566,423247
8,986,308457:422264:423220,JAMES to City Hall via College,3551,423220
7,987,305922:422265:423245,HUDSON to Waterfront,3458,423245
9,985,307053:422266:423206,JUNOT to Waterfront,3499,423206
